crim,zn,indus,chas,nox,rm,age,dis,tax,ptratio,black,lstat,medv
0.12083,0,2.89,0,0.445,8.069,76,3.4952,276,18,396.9,4.21,38.7
0.08187,0,2.89,0,0.445,7.82,36.9,3.4952,276,18,393.53,3.57,43.8
0.14866,0,8.56,0,0.52,6.727,79.9,2.7778,384,20.9,394.76,9.42,27.5
0.22876,0,8.56,0,0.52,6.405,85.4,2.7147,384,20.9,70.8,10.63,18.6
0.13262,0,8.56,0,0.52,5.851,96.7,2.1069,384,20.9,394.05,16.47,19.5
0.10793,0,8.56,0,0.52,6.195,54.4,2.7778,384,20.9,393.49,13,21.7
0.10084,0,10.01,0,0.547,6.715,81.6,2.6775,432,17.8,395.59,10.16,22.8
0.22212,0,10.01,0,0.547,6.092,95.4,2.548,432,17.8,396.9,17.09,18.7
0.17134,0,10.01,0,0.547,5.928,88.2,2.4631,432,17.8,344.91,15.76,18.3
0.32543,0,21.89,0,0.624,6.431,98.8,1.8125,437,21.2,396.9,15.39,18
0.35233,0,21.89,0,0.624,6.454,98.4,1.8498,437,21.2,394.08,14.59,17.1
0.2498,0,21.89,0,0.624,5.857,98.2,1.6686,437,21.2,392.04,21.32,13.3
2.77974,0,19.58,0,0.871,4.903,97.8,1.3459,403,14.7,396.9,29.29,11.8
2.14918,0,19.58,0,0.871,5.709,98.5,1.6232,403,14.7,261.95,15.79,19.4
1.41385,0,19.58,1,0.871,6.129,96,1.7494,403,14.7,321.02,15.12,17
3.53501,0,19.58,1,0.871,6.152,82.6,1.7455,403,14.7,88.01,15.02,15.6
1.27346,0,19.58,1,0.605,6.25,92.6,1.7984,403,14.7,338.92,5.5,27
2.24236,0,19.58,0,0.605,5.854,91.8,2.422,403,14.7,395.11,11.64,22.7
1.80028,0,19.58,0,0.605,5.877,79.2,2.4259,403,14.7,227.61,12.14,23.8
0.13914,0,4.05,0,0.51,5.572,88.5,2.5961,296,16.6,396.9,14.69,23.1
0.09178,0,4.05,0,0.51,6.416,84.1,2.6463,296,16.6,395.5,9.04,23.6
0.06642,0,4.05,0,0.51,6.86,74.4,2.9153,296,16.6,391.27,6.92,29.9
0.09103,0,2.46,0,0.488,7.155,92.2,2.7006,193,17.8,394.12,4.82,37.9
0.08308,0,2.46,0,0.488,5.604,89.8,2.9879,193,17.8,391,13.98,26.4
0.0837,45,3.44,0,0.437,7.185,38.9,4.5667,398,15.2,396.9,5.39,34.9
0.08664,45,3.44,0,0.437,7.178,26.3,6.4798,398,15.2,390.49,2.87,36.4
0.03445,82.5,2.03,0,0.415,6.162,38.4,6.27,348,14.7,393.77,7.43,24.1
0.0351,95,2.68,0,0.4161,7.853,33.2,5.118,224,14.7,392.78,3.81,48.5
0.13642,0,10.59,0,0.489,5.891,22.3,3.9454,277,18.6,396.9,10.87,22.6
0.22969,0,10.59,0,0.489,6.326,52.5,4.3549,277,18.6,394.87,10.97,24.4
0.17446,0,10.59,1,0.489,5.96,92.1,3.8771,277,18.6,393.25,17.27,21.7
0.21719,0,10.59,1,0.489,5.807,53.8,3.6526,277,18.6,390.94,16.03,22.4
0.11425,0,13.89,1,0.55,6.373,92.4,3.3633,276,16.4,393.74,10.5,23
0.31533,0,6.2,0,0.504,8.266,78.3,2.8944,307,17.4,385.05,4.14,44.8
0.38214,0,6.2,0,0.504,8.04,86.5,3.2157,307,17.4,387.38,3.13,37.6
0.52058,0,6.2,1,0.507,6.631,76.5,4.148,307,17.4,388.45,9.54,25.1
0.51183,0,6.2,0,0.507,7.358,71.6,4.148,307,17.4,390.07,4.73,31.5
0.11329,30,4.93,0,0.428,6.897,54.3,6.3361,300,16.6,391.25,11.38,22
0.1029,30,4.93,0,0.428,6.358,52.9,7.0355,300,16.6,372.75,11.22,22.2
0.12757,30,4.93,0,0.428,6.393,7.8,7.0355,300,16.6,374.71,5.19,23.7
0.16439,22,5.86,0,0.431,6.433,49.1,7.8265,330,19.1,374.71,9.52,24.5
0.04819,80,3.64,0,0.392,6.108,32,9.2203,315,16.4,392.89,6.57,21.9
0.54011,20,3.97,0,0.647,7.203,81.8,2.1121,264,13,392.8,9.59,33.8
0.82526,20,3.97,0,0.647,7.327,94.5,2.0788,264,13,393.42,11.25,31
0.29916,20,6.96,0,0.464,5.856,42.1,4.429,223,18.6,388.65,13,21.1
0.06127,40,6.41,1,0.447,6.826,27.6,4.8628,254,17.6,393.45,4.16,33.1
0.07978,40,6.41,0,0.447,6.482,32.1,4.1403,254,17.6,396.9,7.19,29.1
0.21038,20,3.33,0,0.4429,6.812,32.2,4.1007,216,14.9,396.9,4.85,35.1
0.03578,20,3.33,0,0.4429,7.82,64.5,4.6947,216,14.9,387.31,3.76,45.4
0.03502,80,4.95,0,0.411,6.861,27.9,5.1167,245,19.2,396.9,3.33,28.5
0.07886,80,4.95,0,0.411,7.148,27.7,5.1167,245,19.2,396.9,3.56,37.3
0.08199,0,13.92,0,0.437,6.009,42.3,5.5027,289,16,396.9,10.4,21.7
0.12932,0,13.92,0,0.437,6.678,31.1,5.9604,289,16,396.9,6.27,28.6
0.05561,70,2.24,0,0.4,7.041,10,7.8278,358,14.8,371.58,4.74,29
0.09266,34,6.09,0,0.433,6.495,18.4,5.4917,329,16.1,383.61,8.67,26.4
0.3494,0,9.9,0,0.544,5.972,76.7,3.1025,304,18.4,396.24,9.97,20.3
0.24522,0,9.9,0,0.544,5.782,71.7,4.0317,304,18.4,396.9,15.94,19.8
0.35114,0,7.38,0,0.493,6.041,49.9,4.7211,287,19.6,396.9,7.7,20.4
0.24103,0,7.38,0,0.493,6.083,43.7,5.4159,287,19.6,396.9,12.79,22.2
0.06617,0,3.24,0,0.46,5.868,25.8,5.2146,430,16.9,382.44,9.97,19.3
0.05023,35,6.06,0,0.4379,5.706,28.4,6.6407,304,16.9,394.02,12.43,17.1
0.05497,0,5.19,0,0.515,5.985,45.4,4.8122,224,20.2,396.9,9.74,19
0.01301,35,1.52,0,0.442,7.241,49.3,7.0379,284,15.5,394.74,5.49,32.7
0.03113,0,4.39,0,0.442,6.014,48.5,8.0136,352,18.8,385.64,10.53,17.5
0.0187,85,4.15,0,0.429,6.516,27.7,8.5353,351,17.9,392.43,6.36,23.1
0.06211,40,1.25,0,0.429,6.49,44.4,8.7921,335,19.7,396.9,5.98,22.9
0.0795,60,1.69,0,0.411,6.579,35.9,10.7103,411,18.3,370.78,5.49,24.1
5.20177,0,18.1,1,0.77,6.127,83.4,2.7227,666,20.2,395.43,11.48,22.7
3.83684,0,18.1,0,0.77,6.251,91.1,2.2955,666,20.2,350.65,14.19,19.9
3.67822,0,18.1,0,0.77,5.362,96.2,2.1036,666,20.2,380.79,10.19,20.8
11.1081,0,18.1,0,0.668,4.906,100,1.1742,666,20.2,396.9,34.77,13.8
18.4982,0,18.1,0,0.668,4.138,100,1.137,666,20.2,396.9,37.97,13.8
9.82349,0,18.1,0,0.671,6.794,98.8,1.358,666,20.2,396.9,21.24,13.3
23.6482,0,18.1,0,0.671,6.38,96.2,1.3861,666,20.2,396.9,23.69,13.1
16.8118,0,18.1,0,0.7,5.277,98.1,1.4261,666,20.2,396.9,30.81,7.2
24.3938,0,18.1,0,0.7,4.652,100,1.4672,666,20.2,396.9,28.28,10.5
8.15174,0,18.1,0,0.7,5.39,98.9,1.7281,666,20.2,396.9,20.85,11.5
5.87205,0,18.1,0,0.693,6.405,96,1.6768,666,20.2,396.9,19.37,12.5
38.3518,0,18.1,0,0.693,5.453,100,1.4896,666,20.2,396.9,30.59,5
9.59571,0,18.1,0,0.693,6.404,100,1.639,666,20.2,376.11,20.31,12.1
41.5292,0,18.1,0,0.693,5.531,85.4,1.6074,666,20.2,329.46,27.38,8.5
67.9208,0,18.1,0,0.693,5.683,100,1.4254,666,20.2,384.97,22.98,5
11.9511,0,18.1,0,0.659,5.608,100,1.2852,666,20.2,332.09,12.13,27.9
14.4383,0,18.1,0,0.597,6.852,100,1.4655,666,20.2,179.36,19.78,27.5
51.1358,0,18.1,0,0.597,5.757,100,1.413,666,20.2,2.6,10.11,15
14.0507,0,18.1,0,0.597,6.657,100,1.5275,666,20.2,35.05,21.22,17.2
18.811,0,18.1,0,0.597,4.628,100,1.5539,666,20.2,28.79,34.37,17.9
25.9406,0,18.1,0,0.679,5.304,89.1,1.6475,666,20.2,127.36,26.64,10.4
11.8123,0,18.1,0,0.718,6.824,76.5,1.794,666,20.2,48.45,22.74,8.4
12.0482,0,18.1,0,0.614,5.648,87.6,1.9512,666,20.2,291.55,14.1,20.8
8.79212,0,18.1,0,0.584,5.565,70.6,2.0635,666,20.2,3.65,17.16,11.7
15.8603,0,18.1,0,0.679,5.896,95.4,1.9096,666,20.2,7.68,24.39,8.3
7.36711,0,18.1,0,0.679,6.193,78.1,1.9356,666,20.2,96.73,21.52,11
9.33889,0,18.1,0,0.679,6.38,95.6,1.9682,666,20.2,60.72,24.08,9.5
8.49213,0,18.1,0,0.584,6.348,86.1,2.0527,666,20.2,83.45,17.64,14.5
10.0623,0,18.1,0,0.584,6.833,94.3,2.0882,666,20.2,81.33,19.69,14.1
14.4208,0,18.1,0,0.74,6.461,93.3,2.0026,666,20.2,27.49,18.05,9.6
15.1772,0,18.1,0,0.74,6.152,100,1.9142,666,20.2,9.32,26.45,8.7
22.0511,0,18.1,0,0.74,5.818,92.4,1.8662,666,20.2,391.45,22.11,10.5
12.8023,0,18.1,0,0.74,5.854,96.6,1.8956,666,20.2,240.52,23.79,10.8
9.92485,0,18.1,0,0.74,6.251,96.6,2.198,666,20.2,388.52,16.44,12.6
4.75237,0,18.1,0,0.713,6.525,86.5,2.4358,666,20.2,50.92,18.13,14.1
8.20058,0,18.1,0,0.713,5.936,80.3,2.7792,666,20.2,3.5,16.94,13.5
6.65492,0,18.1,0,0.713,6.317,83,2.7344,666,20.2,396.9,13.99,19.5
3.77498,0,18.1,0,0.655,5.952,84.7,2.8715,666,20.2,22.01,17.15,19
15.0234,0,18.1,0,0.614,5.304,97.3,2.1007,666,20.2,349.48,24.91,12
5.73116,0,18.1,0,0.532,7.061,77,3.4106,666,20.2,395.28,7.01,25
2.81838,0,18.1,0,0.532,5.762,40.3,4.0983,666,20.2,392.92,10.42,21.8
5.69175,0,18.1,0,0.583,6.114,79.8,3.5459,666,20.2,392.68,14.98,19.1
0.15086,0,27.74,0,0.609,5.454,92.7,1.8209,711,20.1,395.09,18.06,15.2
0.27957,0,9.69,0,0.585,5.926,42.6,2.3817,391,19.2,396.9,13.59,24.5
0.2896,0,9.69,0,0.585,5.39,72.9,2.7986,391,19.2,396.9,21.14,19.7
0.22438,0,9.69,0,0.585,6.027,79.7,2.4982,391,19.2,396.9,14.33,16.8
0.06076,0,11.93,0,0.573,6.976,91,2.1675,273,21,396.9,5.64,23.9
0.04741,0,11.93,0,0.573,6.03,80.8,2.505,273,21,396.9,7.88,11.9
